row_index,review_id,review,clean_review,rating,year,split_set,lexicon_score,label_original,label,label_source,refinement_reason,evidence_pattern,confidence_level
2773,01af0400-3795-4391-a140-3a63f4bde89c,Keren,keren,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
2822,13663dc4-8101-4ff3-b878-07b9e3ddb93c,Lemot buka aplikasinya,lambat buka aplikasi,1,2023,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,lemot; lambat,high
2840,c60554b4-092e-4134-937e-f80d5bfa5874,"Apk sgt bgs untuk transaksi pokoknya krnnn deh, fiturny mudah digunakan ga bikin ribet, Jd nasabah ga usah bingung "" buat gunainnya",aplikasi sgt bgs transaksi pokoknya krnnn deh fiturny mudah digunakan tidak bikin ribet nasabah tidak bingung gunainnya,5,2023,train,-9.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mudah digunakan,high
2842,d0157b6e-c38a-4b77-91e7-440a06582cbd,apk error ga berguna,aplikasi error tidak berguna,1,2025,validation,-19.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,berguna,high
2855,a5262213-eebf-4acb-b5cc-ed2bacd86d5e,"aplikasinya bagus banget lengkap jugaa , mudah lagi untuk di pakai ga bikin bingung gimana cara pakai nya recommended deh",aplikasi bagus banget lengkap jugaa mudah pakai tidak bikin bingung gimana pakai nya recommended deh,5,2024,validation,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus; recommended,high
2864,e7561164-5ae6-4325-a30d-c69bcc7bc255,Aplikasi perbankan yang sangat memudahkan saya mengatur keuangan. JakOne keren aplikasinya.,aplikasi perbankan memudahkan mengatur keuangan jakone keren aplikasi,5,2022,train,-5.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
2869,0ff0a626-da13-44de-ad36-b6bae29eaadf,"Banyak fitur2 diaplikasinya yg sangat membantu. Aplikasinya mudah digunakan, tidak berat.",fitur2 diaplikasinya membantu aplikasi mudah digunakan tidak berat,5,2023,validation,-1.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mudah digunakan,high
2894,8b70575d-9996-409f-9f9b-b0d1cc950c8b,"Alasan perbaikan system, system yg buat manusia, dari dulu klo ada error alasan system terus. giliran nawarin KMG offline/online gencar banget tiap hari ada aja yg WA nawarin KMG, giliran ada error, dah 2 pekan ini loh...",alasan perbaikan system system manusia klo error alasan system giliran nawarin kmg offline online gencar banget hari wa nawarin kmg giliran error dah 2 pekan loh,1,2025,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,error,high
2924,82c12712-386f-411a-924f-1550dbf2afb8,"Gak diragukan lagi aplikasi lengkap gak ribet juga prosesnya malah memudahkan kita dalam bertransaksi,",tidak diragukan aplikasi lengkap tidak ribet prosesnya memudahkan kita bertransaksi,5,2022,train,-2.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
2929,b88abfbf-d167-4465-8431-811fb51d349a,"aplikasi yang sangat bagus, ui nya ringan dan tidak lemot dihp, mantap dah Jakone mobile👍👍👍",aplikasi bagus ui nya ringan tidak lambat dihp mantap dah jakone mobile,5,2022,train,-4.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mantap,high
2936,8210e48d-f31f-4b5e-a556-325c979c22f9,"makin kesini makin aneh banget JakOne, sinyal sudah bagus tapi tidak bisa transaksi, sekali transaksi gagal saldo tapi kepotong, perbaiki sistem nya biar banyak pengguna nya yg gak kecewa",kesini aneh banget jakone sinyal bagus tidak bisa transaksi transaksi gagal saldo kepotong perbaiki sistem nya biar pengguna nya tidak kecewa,1,2025,test,1.0,positif,negatif,high_confidence_refinement,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high
2945,ce539dce-34c6-44a4-bd4f-7e7766b60ccb,assalamualaikum untuk BANK DKI tolong di masukan lagi antar transfer bank lainnya karena susah Dan tak nyaman klo hanya antar 1 bank saja 🙏,assalamualaikum bank dki tolong masukan antar transfer bank lainnya susah tak nyaman klo antar 1 bank,1,2025,train,-1.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,nyaman,high
2962,597f9b66-40dd-4642-b044-22b0b382d009,Aplikasi yang memudahkan sistem pembayaran online. Cara nya simpel dan gak ribet. Like it,aplikasi memudahkan sistem pembayaran online nya simpel tidak ribet like it,5,2023,train,-3.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
2983,dd97dba5-8bb4-4d5c-a41b-c44dad6925de,"Jaringan hp saya bagus kenapa susah sekali untuk dibuka aplikasi ini, coba diperbaiki sistemnya",jaringan hp bagus kenapa susah dibuka aplikasi coba diperbaiki sistemnya,1,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
3012,d077628e-4813-4d9b-9039-3e1c38ea548b,"Makin ribet, ga praktis",ribet tidak praktis,3,2023,train,-13.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,praktis,high
3059,555d54b4-fa63-4eb3-a08b-e6a18524e101,"Aplikasinya sangat recommended,fitur mudah di pahami, pendaftaran tidak ribet best pokoknya",aplikasi recommended fitur mudah pahami pendaftaran tidak ribet best pokoknya,5,2023,train,-1.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,recommended,high
3087,3efa0c9c-752e-49a5-a07d-ebba916b83bc,"Aplikasi nya mudah di gunakan, cepet juga kalo mau buka rekening baru. Dan gak lemotttt...",aplikasi nya mudah gunakan cepet buka rekening tidak lemotttt,5,2023,test,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,lemot,high
3088,87896418-d796-4169-852a-6aa15e1a56ee,tampilannya bagus dan mudah untuk digunakan juga. keren dah pokoknya!!,tampilannya bagus mudah digunakan keren dah pokoknya,5,2023,test,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,mudah digunakan; bagus; keren,high
3102,a4d33071-7d7b-4855-8cfd-d0a9b3742dff,"Aplikasi nya bagus sekali,fitur lengkap",aplikasi nya bagus fitur lengkap,5,2024,validation,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
3117,d5a55841-3b1f-407d-8e28-2179a1fbb63a,"ngga akan simpan uang di bank ini lagi, aplikasi perbankan paling tidak berguna yg pernah saya pakai. Tidak bisa transfer ke bank lain , e-wallet cuma bisa jakone pay, jak card, shopeepay dan dana. hadeh",ngga simpan uang bank aplikasi perbankan tidak berguna pakai tidak bisa transfer bank e wallet bisa jakone pay jak card shopeepay dana hadeh,1,2025,train,-24.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,berguna,high
3167,a033702b-1899-443b-ac05-1b9bf76aa9ee,Mantaps,mantaps,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,mantap,high
3220,0886f858-b58f-4fa6-aa2a-af812d376d25,"Sangat membantu dalam pembelian pulsa, listrik, dan pembayaran online shop. Jadi gak perlu repot cari konter. hehe",membantu pembelian pulsa listrik pembayaran online shop tidak repot cari konter hehe,5,2022,test,-2.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,sangat membantu,high
3229,6e562b11-c3bb-4a39-967f-d2ebc63e5487,Gw kalo bukan karena kerjaan ogah pasang jakone mobile. Sinyal udah bagus buka app Laen bagus tapi tiap buka ni aplikasi cuma loading muter2. Not recommended! Semoga ada yg lebih baik dari ni app.,gw bukan kerjaan ogah pasang jakone mobile sinyal udah bagus buka aplikasi laen bagus buka ni aplikasi loading muter2 not recommended semoga lebih ni aplikasi,1,2023,train,-5.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,recommended,high
3249,b28d3d42-f2d5-4847-af22-ed1a0b54a5d6,aplikasi nya udah bagus banget memudahkan kita buat isi pulsa apalagi waktu mager buat keluar rumah dan fiturnya keren keren,aplikasi nya udah bagus banget memudahkan kita isi pulsa apalagi mager keluar rumah fiturnya keren keren,5,2023,train,-3.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
3252,ba7373b1-8189-4a57-9cd0-08e849be7d23,Aplikasi yang sangat membantu.semakin aplikasi yang baru semakin baik.saya pakai jakone mobile gak pernah error.untuk masuk ke akun gak pernah nunggu lama.,aplikasi membantu aplikasi pakai jakone mobile tidak error masuk akun tidak nunggu,5,2023,train,-13.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,sangat membantu,high
3294,19351baa-f84f-46a5-9b42-1692f3e16242,Menurutku aplikasi ini recommended karena cara penggunaannya mudah serta fitur yang disediakan juga cukup lengkap mempermudah kita dalam bertransaksi jadi gausah keluar rumah deh disini aja,menurutku aplikasi recommended penggunaannya mudah fitur disediakan lengkap mempermudah kita bertransaksi gausah keluar rumah deh disini,5,2023,train,-2.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,recommended,high
3303,b0352542-1dc0-4dcb-abbe-b39cf06771ce,Bank DKI makin keren,bank dki keren,5,2024,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
3334,174c7540-905b-4cfe-b3c7-dc70f9d3cf65,"Parah, transaksi lambat sekali..",parah transaksi lambat,1,2024,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,lambat; parah,high
3337,4f8386ea-759e-48f5-af6b-5e33da0295f3,Aplikasi yang sangat mudah digunakan tampilannya keren mempermudah dalam pengiriman dana recomendet pokoknya,aplikasi mudah digunakan tampilannya keren mempermudah pengiriman dana recomendet pokoknya,5,2023,train,-7.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mudah digunakan,high
3388,959177e6-c6f0-46bf-b288-906bf654946a,Keren,keren,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
3392,e2868518-c7b4-4f33-89ac-21374a973d90,Aplikasi yg sangat membantu. Mempermudah saat membeli pulsa dan bayar berbagai macam tagihan. Tampilannya juga gak ribet dan ringan jadi tidak banyak memakan ruang.,aplikasi membantu mempermudah membeli pulsa bayar tagihan tampilannya tidak ribet ringan tidak memakan ruang,5,2022,train,-6.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,sangat membantu,high
3423,41e32712-4511-404b-b815-8e7061e148d2,Koneksi internet bagus dan stabil tapi ga bisa buat buka aplikasinya....mending aplikasi yang lama ga lemot. Ini mau buka aplikasi loading terus dan ada info cek internet...mau dicek apanya lagi orang Internetnya stabil full lagi signalnya. Tolong diperbaiki agar pengguna jackmobile nyaman,koneksi internet bagus stabil tidak bisa buka aplikasi mending aplikasi tidak lambat buka aplikasi loading info cek internet dicek apanya orang internetnya stabil full signalnya tolong diperbaiki pengguna jackmobile nyaman,1,2023,train,-7.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,nyaman,high
3447,6f63e4ce-9dbc-48c7-bca6-bd9e9d3157d6,Gagal pas verifikasi wajah payah... app tdk berguna,gagal pas verifikasi wajah payah aplikasi tidak berguna,1,2023,train,-15.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,berguna,high
3468,36f72fdc-dfce-4168-8151-0bb79c71cdc6,Aplikasi ini sangat berguna bagi kehidupan sehari-hari saya . Aplikasi sangat mudah digunakan. Aplikasi juga cepat dan Fitur di Aplikasi sangat menarik. Saya tidak menyesal memakai aplikasi ini.,aplikasi berguna kehidupan sehari hari aplikasi mudah digunakan aplikasi cepat fitur aplikasi menarik tidak menyesal memakai aplikasi,5,2022,train,-10.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mudah digunakan,high
3475,9b6325d4-1b26-4c0f-bd03-0fce7c9661c1,Aplikasi yang membantu bangett sihh ini. Mantapp dah pokoknyaa,aplikasi membantu bangett sihh mantapp dah pokoknyaa,5,2023,train,-7.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mantap,high
3489,568977fe-96e8-4170-bba7-c0653f98a3a4,mbanking terburuk sepanjang masa,mbanking terburuk sepanjang masa,1,2025,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,buruk,high
3494,5f5f3b57-61e0-41e6-a5a1-ad8f97aae043,Untuk saat ini mantaplah☺,mantaplah,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,mantap,high
3554,e04e1d81-1486-4486-9efb-38640db148d7,"aplikasinya sangat bagus dan sangat mudah digunakan, aplikasinya juga mempermudah penggunanya untuk melakukan transaksi. aplikasi ya juga jarang eror dan kalau ada info selalu diberitahukanelalui SMS. Fitur qris yang tersedia juga sangat memudahkan",aplikasi bagus mudah digunakan aplikasi mempermudah penggunanya melakukan transaksi aplikasi ya jarang error info diberitahukanelalui sms fitur qris tersedia memudahkan,5,2023,train,-2.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mudah digunakan,high
3603,55e27da1-ea0a-4029-8cac-5e67590e7822,Aplikasinya bagus banget buat nyimpen uang dan penarikannya sangat cepat buat kalian yang bingung nyimpen uang di i walet mana saran saya sekalian download aplikasi ini sangat rekomended dan bisa dipercaya keamanannya,aplikasi bagus banget nyimpen uang penarikannya cepat kalian bingung nyimpen uang i walet saran download aplikasi rekomended bisa dipercaya keamanannya,5,2024,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus; cepat,high
3607,b004bd84-01cb-44d5-b48e-f6bcbf4aaa84,Keren,keren,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
3625,573564a2-d9b8-48ff-876f-9959b8d3e894,Mohon diperbaiki sistemnya. Sering kali terjadu transaksi gagal tetapi saldo kepotong. Walapun pada akhirnya saldo kembali lagi. Tapi ini mengahbat aktivitas. Saya sudah 4 x kejadian transaksi gagal tapi saldo kepotong namun tidak masuk ke rekening tujuan . Walapun dlaam 1-2 hari saldo kembali. Terimakasih,mohon diperbaiki sistemnya terjadu transaksi gagal saldo kepotong walapun akhirnya saldo mengahbat aktivitas 4 x kejadian transaksi gagal saldo kepotong tidak masuk rekening tujuan walapun dlaam 1 2 hari saldo terimakasih,2,2024,train,16.0,positif,negatif,high_confidence_refinement,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high
3633,b84af402-aec4-4e0a-b17e-9f6c490e0e30,"Bagus banget aplikasi JakOne, beneran sebagus itu mobile banking satu ini, wajib download!",bagus banget aplikasi jakone beneran sebagus mobile banking wajib download,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
3647,39773995-ebea-4a1b-9273-e6e45a706c51,Mantaplahhhpokokx,mantaplahhhpokokx,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,mantap,high
3654,6b35ad9a-ef9d-4912-899d-1857fbd59bfb,Keren aplikasi nya sangat membantu aplikasi nya juga mudah di gunakan,keren aplikasi nya membantu aplikasi nya mudah gunakan,5,2024,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,sangat membantu; keren,high
3675,1f4ff922-02c8-47a2-a030-7595fac68158,"mantap verifikasi data ga ribet dan cepet juga,begitupun limitnya dan biayanya bulanannya gratis tidak ada saldo ngendap",mantap verifikasi data tidak ribet cepet begitupun limitnya biayanya bulanannya gratis tidak saldo ngendap,5,2023,train,0.0,netral,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mantap,high
3715,f78eadc8-8d95-480c-b1cf-0b902e907de1,"Eh tolong dong pihak Development gimana sih, fitur e wallet aja ilang gimana sih, udah mah sering eror. kalo tidak niat memudahkan pelanggan tutup aja aplikasi nya",eh tolong pihak development gimana sih fitur e wallet ilang gimana sih udah mah error tidak niat memudahkan pelanggan tutup aplikasi nya,1,2025,train,-14.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
3720,048e2bf3-412b-4867-9f07-35025485a87b,"Tampilan aplikasi bagus tidak bikin sakit mata, sangat memudahkan. Pemakaian so far bagus",tampilan aplikasi bagus tidak bikin sakit mata memudahkan pemakaian so far bagus,5,2022,train,-8.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
3748,e74b308f-1b72-41b8-9036-0d3237d61a2c,Aplikasi serbaguna dan sangat membantu,aplikasi serbaguna membantu,5,2024,validation,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,sangat membantu,high
3750,266b7283-dc2d-4d1f-b45f-4796e5e96e7d,"Mau kasih saran, mending bank DKI bangkrut aja, percuma punya aplikasi tapi ga berguna, eror terus",kasih saran mending bank dki bangkrut percuma punya aplikasi tidak berguna error,1,2025,train,-11.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,berguna,high
3756,5623c0d5-9768-470e-9b38-d330f4320db5,Aplikasi masa depan untuk transaksi keren...,aplikasi masa transaksi keren,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
3792,d0c9c817-9739-4379-8dba-6a02f9d46b4a,Jakone selalu update dan keren,jakone update keren,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
3809,b9458ee7-317a-414e-8d5d-2006103b59e6,Setelah di Update Malah Ga Bisa Di Buka Padahal Sinyal Bagus hadehhhhb,setelah update tidak bisa buka padahal sinyal bagus hadehhhhb,1,2023,validation,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
3827,1cef0c2a-8c6e-4ede-923a-b4db2997a7a7,"Aplikasinya sangat recommended banget,cara pendaftarannya pun mudah dan tidak ribet.tidak nyesel download aplikasi jakOne Mobile",aplikasi recommended banget pendaftarannya mudah tidak ribet tidak nyesel download aplikasi jakone mobile,5,2023,train,-4.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,recommended,high
3844,39ad30e7-60f5-4638-821f-5fac4eba994f,dari siang dan berulang nyoba sampe 5 x cuma stak nunggu kode otp aja ga di kirim .. mantap,siang berulang nyoba sampe 5 x stak nunggu kode otp tidak kirim mantap,1,2025,train,-4.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,mantap,high
3888,3fd424e9-9efa-452a-a851-93813cf6a0bc,Tiap buka apk kok lama bgt lodingnya Dan tiap mau transaksi selalu gagal Pokoknya lama di buka nya gak sat set Tolong di perbaiki agar setiap transaksi nyaman mudah dan simpel terima kasih,buka aplikasi kok banget lodingnya transaksi gagal pokoknya buka nya tidak sat set tolong perbaiki setiap transaksi nyaman mudah simpel terima kasih,2,2024,train,17.0,positif,negatif,high_confidence_refinement,negative_pattern: label conflicts with clear negative phrase,transaksi gagal,high
3908,fdeae185-853d-4e82-8f42-9250f9a4d709,Aplikasi nya sangat mudah untuk digunakan apalagi banyak terdapat fitur,aplikasi nya mudah digunakan apalagi fitur,5,2022,test,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,mudah digunakan,high
3921,50ac9433-0394-4f0e-8883-5a5af0de0e13,"Aplikasi m banking yang gak ribet, sangat memudahkan untuk transaksi, yang punya bank DKi wajib banget download aplikasi ini 🤗",aplikasi m banking tidak ribet memudahkan transaksi punya bank dki wajib banget download aplikasi,5,2023,validation,0.0,netral,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
3940,d7ec1b40-4b23-413a-986c-9edaeced2469,knpa suka eror mulu,knpa suka error mulu,4,2025,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,error; eror,high
3947,c9a9ac32-0e15-4db3-a265-2e2707f0f70c,"Ganti nomor telpon, udah datang ke Bank DKI buat verifikasi jika sudah mengganti nomor telpon di jakone tapi sampai sekarang ga bisa login/aktivasi ulang, hadehhh... Aneh...",ganti nomor telpon udah bank dki verifikasi mengganti nomor telpon jakone tidak bisa login aktivasi ulang hadehhh aneh,1,2023,train,4.0,positif,negatif,high_confidence_refinement,negative_pattern: label conflicts with clear negative phrase,tidak bisa login,high
3952,f29507ae-a3b3-4008-9815-8fd6ffb8375d,Mantapp bank dki,mantapp bank dki,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,mantap,high
3968,de4ab50f-16aa-4b51-bb09-846577a28e9a,Keren,keren,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
3983,bb6b4d9a-044b-4622-88a7-6decaa8366ab,Keren,keren,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren,high
4005,6cf65d21-6f4a-4bfc-a684-6e3bb0b45b13,Makin kesini makin payah,kesini payah,1,2025,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,payah,high
4006,4f116583-2e11-4199-a72f-f78efe4e8507,Maintence kok lebih dari 7 hari. Menyusahkan banyak orang gabisa transaksi di libur lebaran,maintence kok lebih 7 hari menyusahkan orang tidak bisa transaksi libur lebaran,1,2025,test,7.0,positif,negatif,high_confidence_refinement,negative_pattern: label conflicts with clear negative phrase,tidak bisa transaksi,high
4034,da59f326-616b-4b22-8033-ea87fd1adb33,Aplikasi nya sanggat memudahkan untuk melakukan pembayaran melalui scanning pada QR code yang di sediakan oleh merchant pokonya buruan download aplikasinya sekarang juga⭐⭐⭐⭐⭐,aplikasi nya sanggat memudahkan melakukan pembayaran scanning qr code sediakan merchant pokonya buruan download aplikasi,5,2022,train,-6.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,memudahkan,high
4110,bd6af5a2-5dea-4d73-8fb4-7c2a01d9fe1b,"Aplikasi ini recommended banget untuk orang pemula dan orang yg awam kaya aku, mempermudah untuk aku bayar apapun pake Apk ini. Tampilannya ga ribet, recommend deh.",aplikasi recommended banget orang pemula orang awam kaya mempermudah bayar apapun pakai aplikasi tampilannya tidak ribet recommend deh,5,2023,train,-8.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,recommended,high
4138,c3802d66-116a-48df-ab9f-38c3ff500e5c,Aplikasi enggak berguna Masah akun bank saya enggak bisa di buka di blokir password nya Saat menghubungi call center di suruh ke kantor cabang. padahal saldo saya masih di aplikasi jakone. Call center tidak membantu nasabahnya,aplikasi enggak berguna masah akun bank enggak bisa buka blokir password nya menghubungi call center suruh kantor cabang padahal saldo aplikasi jakone call center tidak membantu nasabahnya,1,2024,train,-11.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,berguna,high
4156,d990af01-6819-400e-bf51-6602a8230175,Bagus bangett,bagus bangett,5,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
4158,11d0c8ad-7381-4cca-bc92-b1bf3b19e942,lemottt,lemottt,1,2022,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,lemot,high
4180,abb6b1af-dc4b-4955-9dfa-53d3c18c7b39,Mantap nihh developernya! bikin aplikasi bank digital yang keren dan super-fast banget. Ini aplikasi yang gak pernah lelet buat dipakai transaksi berkali-kali. Buat yang mau buka rekening baru di bak.,mantap nihh developernya bikin aplikasi bank digital keren super fast banget aplikasi tidak lelet dipakai transaksi berkali buka rekening bak,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,mantap; keren,high
4203,a1ff1d2d-2884-4e29-9032-8818bb3f2daa,lemottttttttttttty,lemottttttttttttty,1,2025,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,lemot,high
4222,a1f057d4-30e5-4c53-94a7-f6c38fd80174,"Awalnya gk tahu kalau aplikasi ini bisa top up JakCard pakai kartu debit dari bank lain, tapi setelah coba sendiri, ternyata prosesnya cepat, mudah, dan sangat membantu, apalagi kalau lagi butuh mendadak, apk nya recommended!",awalnya tidak tahu aplikasi bisa top up jakcard pakai kartu debit bank setelah coba ternyata prosesnya cepat mudah membantu apalagi butuh mendadak aplikasi nya recommended,5,2024,train,-4.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,sangat membantu,high
4223,cb2ec4e7-7948-41af-85f0-a38dd064913d,kebanyakan oflline nya .. aplikasinya bobrok... penanganan yg lambat.. nyusahin pengguna nya untuk transaksi..,kebanyakan oflline nya aplikasi bobrok penanganan lambat nyusahin pengguna nya transaksi,1,2025,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,lambat,high
4307,17f9260d-0911-4df3-ac68-4731889c75ad,"Aplikasinya super bagus, cocok buat anak muda. Semoga kedepannya semakin banyak fiturnya",aplikasi super bagus cocok anak muda semoga kedepannya fiturnya,5,2022,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
4332,7d20243e-4ae2-4ecc-9e23-133b54667444,Tolong dong ditingkatkan lagi payah banget aplikasinya . Permudah dong contoh BCA mobile,tolong ditingkatkan payah banget aplikasi permudah contoh bca mobile,1,2023,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,payah,high
4334,efdff184-9310-4074-8d87-87723b932ee4,Setelah di update malah ngga jelas. Kalo malem gabisa dibuka!!!!!!!!! Ngga berguna banget !!! Ngga ngebantu !!!,setelah update ngga jelas malem tidak bisa dibuka ngga berguna banget ngga ngebantu,1,2023,train,-5.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,berguna,high
4352,e8be7985-267d-4328-b450-ee44003c18ec,MantaPKS,mantapks,4,2023,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,mantap,high
4356,1935227b-bfed-4919-a4b5-b55660e16fa7,"Apk yang sangat membatu , bayar pln iai paket data dengan mudah , deposit pun nggx ribet ono ini .",aplikasi membatu bayar pln iai paket data mudah deposit nggx ribet ono,5,2023,train,0.0,netral,negatif,high_confidence_refinement,neutral_zero: negative phrase canceled to zero,ribet,high
4380,7d602cf2-71af-4ad0-9903-d3ae3b982d4e,"Aplikasinya keren bgt sih karena fiturnya sudah lengkap dan bisa bikin rekening online, pokoknya memudahkan banget",aplikasi keren banget sih fiturnya lengkap bisa bikin rekening online pokoknya memudahkan banget,5,2022,test,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,keren; memudahkan,high
4399,1fef0df7-e402-4ea8-9129-680747850663,"Aplikasi nya sangat bagus untuk transaksi,rekomen banget apk ino guys",aplikasi nya bagus transaksi rekomen banget aplikasi ino guys,5,2024,train,0.0,netral,positif,high_confidence_refinement,neutral_zero: positive phrase canceled to zero,bagus,high
4407,31cf1319-4c9f-4add-98f6-3baa8ba21246,"Aplikasi jempolan yang sangat membantu. Sejauh ini belum pernah menemukan kendala sih, suka banget pakai aplikasi ini. Aplikasi andalan.",aplikasi jempolan membantu sejauh belum menemukan kendala sih suka banget pakai aplikasi aplikasi andalan,5,2022,test,-2.0,negatif,positif,high_confidence_refinement,positive_pattern: label conflicts with clear positive phrase,sangat membantu,high
