clean_review,label_v1,label_v2,label_v3,skor_v1,skor_v2,skor_v3
aplikasi tolol bikin jack one tidak bisa bisa,negatif,negatif,negatif,-14.0,-14.0,-1.6
tidak ganti hp keterangan ganti device login verifikasi data mentok swafoto gaada alternatif verif via vidcall manual kaya bank cs nyalahin jaringan padahal pakai wifi disana jaringan ponsel 5g,negatif,negatif,negatif,-12.0,-12.0,-4.0
gereget banget dah lebih tidak bikin aplikasi nyusahin orang tak aplikasi bank brengsek tidak bisa bisa login mending musnahij bank,negatif,negatif,negatif,-14.0,-14.0,-2.6
mbanking terburuk sepanjang punya udah lambat tranfer transaksi jug klw bukan gaji dah buang,negatif,negatif,negatif,-1.0,-1.0,-1.7999999999999998
udah 2x doble transaksi hati hati kirim transaksi cek dl mutasi kadang aplikasi gagal tercatat berhasil mutasi masa bintang 1 5 banyakan bintang 1 nya akhirnya bisa 12 mei 2025 semoga lebih,positif,positif,positif,9.0,9.0,0.7999999999999999
login akun pas masukin password hp mencet samape 3x masukin sandi salah masa langsung tiba tiba blokir sih padahal tau pasword nya karenakan hp nya mencet langsung blokir hadeh udah mah urgent,negatif,negatif,negatif,-9.0,-9.0,-0.6000000000000002
error sampe kapan,negatif,negatif,negatif,-5.0,-5.0,-1.0
tidak jelas uda transfer tidak masuk,negatif,negatif,negatif,-8.0,-8.0,-0.6
transfer tidak bisa bikin ribet udah berbulan bulan tidak perbaikan blanko kosong mulu,negatif,negatif,negatif,-20.0,-20.0,-3.0
rating 1 aplikasi,negatif,negatif,netral,-4.0,-4.0,0.0
parah kesini kesono,negatif,negatif,negatif,-5.0,-5.0,-1.0
aplikasi tidak gunanya nyesel gw download minta otp 5 menit tidak menyita bank dki bank oloyyyy,negatif,negatif,negatif,-12.0,-12.0,-0.6000000000000001
aplikasi tidak minta verif no sms kaga masuk masuk padahal pulsanya dh beberapa bulan gini,negatif,negatif,positif,-18.0,-18.0,0.6
akun tiba tiba terblokir sandi benar kenapa masalah,negatif,negatif,negatif,-2.0,-2.0,-1.6
error mulu sampah bet nih mbanking,negatif,negatif,negatif,-7.0,-7.0,-2.0
senang,positif,positif,positif,5.0,5.0,1.0
3 hari aplikasi tidak bisa dibuka payah,negatif,negatif,negatif,-9.0,-9.0,-0.6
verifikasi susah nya minta ampun gimana ni pt dki aplikasi nya error ni login susah banget beli pulsa berkali kode verifikasi notif kesalahan pdhal gada kesalahan tidak banget dh bintang 1,negatif,negatif,negatif,-33.0,-33.0,-6.2
m banking sampah,negatif,negatif,negatif,-4.0,-4.0,-0.8
aplikasi tolol tiba2 tidak bisa buka transaksi terhambat,negatif,negatif,negatif,-11.0,-11.0,-2.4000000000000004
aplikasi jakone kagaj bisa2 kemaren alasan dukcapil setelah diurus ko tidak bisa cs bilang no hp blom diupdate udah nunggu ujung2nya disuruh pulang dikabarin kapan sungguh kecewe nih,negatif,negatif,netral,-6.0,-6.0,0.0
kecewa kenapa tidak perbaiki gangguan tarik atm tidak bisa belanja pakai kartu tidak bisa nunggu tolong pihak bank dki perbaiki,negatif,negatif,negatif,-10.0,-10.0,-1.8000000000000005
bank sampah republik beruntung kalian asn dki gajian kalian tidak pasti tidak nasabah kalian,negatif,negatif,negatif,-17.0,-17.0,-0.6
tidak bisa transfer antar bank sesuai limit transfer 1 juta tidak bisa biaya transfer nya jga mahal tidak 2500 6500,negatif,negatif,negatif,-9.0,-9.0,-0.39999999999999997
tolong sistem diperbaiki sistem mbanking bobrok,negatif,negatif,negatif,-10.0,-10.0,-2.6
aplikasi gajelas log in tidak bisa gila,negatif,negatif,negatif,-6.0,-6.0,-1.6
membantu sesuatu ngirim,positif,positif,positif,4.0,4.0,0.8
gimana ceritanya sih user terkunci mulu padahal belum abis instal ulang,positif,positif,positif,3.0,3.0,0.6000000000000001
error,negatif,negatif,negatif,-5.0,-5.0,-1.0
kesini payah,netral,negatif,netral,0.0,0.0,0.0
pindah hp,positif,positif,negatif,1.0,1.0,-0.6
masalah mulu,negatif,negatif,negatif,-2.0,-2.0,-1.0
aneh udah 2 bulan tidak bisa fitur pembayaran pendidikan,negatif,negatif,positif,-2.0,-2.0,0.20000000000000007
woyyy bank bank tidak bisa transfer bank uang masuk langsung hilang lapor biar balik klw tidak lapor gtw balik engga giliran dipindahin uangnya tidak bisa transfer bank bank autodebet seenaknya jidat sebulan bisa sampe 2 3 x tarikan cicilan bank pas hari penting tidak bisa dipakai mending pindah bank lebih toleransi ngasih bintang 5 pasti orang,negatif,negatif,negatif,-7.0,-7.0,-3.6
segera diperbaiki transaksi transfer beli pulsa dll mutasi bulanan salah kadang tidak keluar semoga cepat diperbaiki semangat,positif,positif,positif,10.0,10.0,2.4
aplikasi tidak proper login data tidak ditemukan padahal udah punya rekening data udah sesuai udah masukin otp beberapa pakai pulsa,negatif,negatif,positif,-17.0,-17.0,0.6
bikin rekening pas rekening transfer keterangan rekening tidak valid,negatif,negatif,positif,-2.0,-2.0,0.6
membantu,positif,positif,positif,4.0,4.0,0.8
mutasi tidak bisa notif tidak susah pakai jack one ampun tidak bisa perbaiki ya,negatif,negatif,negatif,-7.0,-7.0,-0.3999999999999999
q ris tidak bisa transfer rek tidak bisa kalah bank daerah lainnya bank sekelas kota jakarta ko,negatif,negatif,negatif,-15.0,-15.0,-2.6000000000000005
menyenangkan,positif,positif,positif,4.0,4.0,0.8
aplikasi perbankan terburuk gw pakai error huuffh,negatif,negatif,negatif,-9.0,-9.0,-1.0
isi pulsa jakone mobile 200 ribu tidak masuk2 keterangannya proses wooiiii balikin duit gua beli,negatif,negatif,negatif,-6.0,-6.0,-1.6
aplikasi nya bagus bisa pembayaran dll sayang keterbatasan limit nya bikin susah terpaksa teller terdekat,negatif,negatif,negatif,-5.0,-5.0,-0.20000000000000007
daftar mbanking susah apalagi pas make,positif,positif,netral,1.0,1.0,0.0
tidak bisa menyambungkan rekening dibuat,negatif,negatif,negatif,-5.0,-5.0,-0.6
aplikasikan membantu,positif,positif,positif,4.0,4.0,0.8
aplikasi m banking jelek mula buka rekening tidak kunjung bisa gunakan padahal pendaftaran sdah bantu customer servicenya langsung,negatif,negatif,negatif,-8.0,-8.0,-0.4
aplikasi tidak membantu susah,negatif,negatif,negatif,-16.0,-16.0,-1.4
knp error y,negatif,negatif,negatif,-5.0,-5.0,-1.0
mantap fitur tranfer bank bisa,positif,positif,positif,5.0,5.0,1.0
baca pendapatan bank dki transaksi bank dki bank 6500 transaksi orang total pegawai area jakarta bulan pendapan bank dki menggunakan bank dki transaksi apapun pasti bermasalah sehingga orang berpikir melakukan transfer bank punya smooth criminal,positif,positif,positif,25.0,25.0,1.2
bug dimana ingin mengaktivasi akun jakone memiliki rekening flownya setelah memilih opsi ya punya rekening b dki opsi memilih tidak memiliki rekening otomatis masuknya menu isi data bug mengganggu ingin aktivasi akun masuk menu bikin tolong segera diperbaiki,positif,positif,positif,13.0,13.0,0.6000000000000001
ganti hape registrasi ulang error 0404 terussss help,netral,negatif,netral,0.0,0.0,0.0
membantu dam memudahan dlm semoga bnyk diskon pembelian pulsa token,netral,positif,positif,0.0,0.0,0.6000000000000001
aplikasi m banking gblkk beli pulsa via m banking dki tidak masuk2 keterangannya proses woy bodoh gua butuh paket data gua beli via m banking tuh biar lebih cepat menghemat bukannya lebih cepat kelamaan,negatif,negatif,negatif,-15.0,-15.0,-2.4000000000000004
ganti hp data tidak ditemukan,negatif,negatif,positif,-5.0,-5.0,0.6
kode otp 6 digit tidak terkirim kenapa,negatif,negatif,netral,-8.0,-8.0,0.0
masa data tidak sesuai gimana daftar nya maintenance nya tahun min,negatif,negatif,negatif,-10.0,-10.0,-1.4
susah banget daftar nya padahal disabilitas penerima kpdj inginnya gunakan rekening transaksi lainnya bukan sekedar mendapat kpdj,positif,positif,positif,5.0,5.0,0.19999999999999996
ok bagat,positif,positif,positif,4.0,4.0,0.8
busuk,negatif,negatif,negatif,-5.0,-5.0,-1.0
mantap,positif,positif,positif,5.0,5.0,1.0
beli pulsa saldo kepotong pulsa tidak masuk,negatif,negatif,netral,-4.0,-4.0,0.0
login kok tidak bisa padahal masukin no hp tidak notif kode otp padahal isi pulsa tidak bener bgtt nih aplk padahal liat rek tidak bisa gagal kolo login ck,negatif,negatif,negatif,-29.0,-29.0,-3.2
kenapa ya instal aplikasi masukin nomer hp pulsa nya tidak bisa masuk aplikasi,negatif,negatif,positif,-15.0,-15.0,0.20000000000000007
setiap mah transaksi error mulu ngga niat mah jangan nyusahin minimal,negatif,negatif,negatif,-7.0,-7.0,-1.7999999999999998
tidak bisa digunakan kode otp tidak terkirim,negatif,negatif,negatif,-13.0,-13.0,-0.6
jam 11 15 beli pulsa via jakone mobile saldo potong padahal nomor d tuju belum masuk,positif,positif,negatif,5.0,5.0,-1.2000000000000002
aplikasi sampah menyulitkan orang tidak bisa akses butuhkan,negatif,negatif,negatif,-11.0,-11.0,-1.4
mbanking kocak transfer bank tidak bisa gua transfer 3jt lebihin limit eh pas atm transfer lngsung bisa nya mbanking nerima transfer an bank tidak bisa dibilang rekening penerima tidak valid haduh kocak pliees dah lu aplikasi kocak kasih rating bener 1 aje jangan 5 paul biar cepet mikir direksinya benerin ni aplikasi,negatif,negatif,negatif,-23.0,-23.0,-2.2
punya rekening disuruh scan,positif,positif,negatif,1.0,1.0,-0.4
transfer 1x jakone mobile ternyata saldo kepotong 2x bank tujuan masuk 1x kemana saldo kepotong sampe belum balik rekening transaksi dasar engga bener parah sih ni aplilasi engga kepaksa engga pakai ni aplikasi semoga dana bisa balik lahgi,positif,positif,positif,3.0,3.0,0.4
gagal verifikasi data data isi benar coba berkala berbulan bulan gagal verifikasi data,negatif,negatif,negatif,-12.0,-12.0,-3.4000000000000004
kode otp tidak terkirim mencoba berkali oh iya pulsa tersisa 6k,negatif,negatif,netral,-11.0,-11.0,0.0
beberapa hari buka mbangking tidak bisa padahal internetnya kuat periksa jaringan internet,negatif,negatif,negatif,-2.0,-2.0,-3.0
lebaran idul fitri lebaran idul adha m banking bermasalah bubar deh nasabah,positif,positif,netral,4.0,4.0,0.0
malam token habis m banking tidak berguna topup klo bukan perlunya udah hapus nih nanya cs online kcp tidak scorenya 11 100,negatif,positif,negatif,-20.0,-20.0,-1.2
update 3 juni 2025 nih saudara transfer rekening gagal mulu isi pulsa gagal jackpot nya tuh atm margonda depok prank banget tidak bisa ambil duit gilak tidak tuh saudara sumpah gila,negatif,negatif,negatif,-19.0,-19.0,-5.3999999999999995
aplikasi tidak siap dipakai transaksi mending pakai transfer beda bank tidak bisa,negatif,negatif,negatif,-11.0,-11.0,-1.8000000000000003
stak logo tidak bisa login payah banget,negatif,negatif,negatif,-4.0,-4.0,-0.8
layanan bi fastnya kenapa hilang transfer kelain bank biaya nya mahal,positif,positif,negatif,7.0,7.0,-5.551115123125783e-17
pindah device ribet tidak bisa2 ampe bank nya langsung tidak solusi suruh nyoba bank sebelah bantu tidak nyampe 5 menit kelar sayang gajian disini klo tidak mah males,negatif,negatif,negatif,-24.0,-24.0,-1.5999999999999996
viturnya cuman bisa transfer antar bank dki tuh aneh banget sih wkwkwk transfer antar bank tidak bisa tuh lucu banget,positif,positif,positif,7.0,7.0,1.2
minus 100,negatif,negatif,negatif,-3.0,-3.0,-0.6
bukan gaji tidak sudi pakai bank karyawan nya angkuh rata disemua cabang,negatif,negatif,positif,-6.0,-6.0,0.3999999999999999
instal aplikasi tidak bisa kebuka siang coba sampe malem tetep tidak bisa dibuka aplikasi,negatif,negatif,negatif,-17.0,-17.0,-1.4
buruk bermasalah tidak bisa dibuka diperbaiki,negatif,negatif,negatif,-10.0,-10.0,-1.6
aplikasi sampah kode otp tidak dikirim meskipun mencoba beberapa menunggu 30 menit hasilnya belum dikirim mohon diperbaiki segera terimakasih,negatif,negatif,negatif,-15.0,-15.0,-1.0
hari pelayanan mbanking nya amburadul top up tidak berhasil saldo kepotong komplain via e mail tidak ditanggapi disuruh tlp cc gunanya dicantumkan email sampah banget aplikasi nya,negatif,negatif,negatif,-17.0,-17.0,-1.0000000000000002
sangaat aneh tiba2 user terkunci tidak bisa pakai aplikasi capek teller bank mulu kerjaan nya,positif,positif,positif,3.0,3.0,1.2000000000000002
kenapa transfer bank tidak bisa padahal tidak melebihi batas transaksi,negatif,negatif,negatif,-9.0,-9.0,-1.2
emng aplikasi gajlas udah bulak balik teler ngurus jakone kaga bisa krna gaji ajh ribet,negatif,negatif,negatif,-11.0,-11.0,-1.4
aplikasi tidak bisa login udah ikutin caranya nomer tidak terdaftar aplikasi uninstall dah,negatif,negatif,negatif,-22.0,-22.0,-1.7999999999999998
error bangke,negatif,negatif,negatif,-5.0,-5.0,-1.0
tolong beresin nih aplikasi mutasi rekening ilang,negatif,negatif,negatif,-6.0,-6.0,-1.0
terhormat tolong ditutup top up dana nya oknum penipuan dana bisa mengetahui saldo kita bisa aplikasi m bengking dki semisalnya kita top dana limit berarti saldonya tidak limit berarti tidak saldonya,positif,positif,positif,15.0,15.0,3.8000000000000007
alhamdulillah mudah mudah stabil sukses,positif,positif,positif,19.0,19.0,3.8000000000000003
bukan pegawai pemda dki jangan download aplikasi sampah minimal orang it diisi profesional jangan abal abal,negatif,negatif,negatif,-23.0,-23.0,-2.0
tidak bisa dibuka,negatif,negatif,negatif,-5.0,-5.0,-0.6
aplikasi m banking jelek bngt kirim kode otp tidak masuk sinyal pakai wifi pdhl beli pulsa jg ttp tidak masuk tu otp gajelas bngt,negatif,negatif,negatif,-15.0,-15.0,-0.6
parah bangat tidak bisa dibuka buka dah nerima duit aneh bangat bank dki semenjak masalah sistem lebaran error,negatif,negatif,negatif,-19.0,-19.0,-4.0
sebel banget mw transfer suka ngegantung dihati weekend heran,positif,positif,positif,6.0,6.0,1.2
tgl 29 05 25 top up saldo jakcard via jakone mobile saldo rekening terpotong mutasinya update jaringan lemmmot bangettttt 24 jam saldo jakcard msh belum brtambah tolong solusinya,positif,positif,positif,17.0,17.0,0.19999999999999996
aplikasi bagus tidak bank dki mengecek saldo nya,negatif,negatif,positif,-5.0,-5.0,0.6
aplikasi lebih 1 jam akun terkunci susah banget nerima otp sya udah call center xl langsung bilangnya aplikasi jackmobilenya cabang bang dki ngomongnya xlnya bermasalah kacau bener make aplikasi ngk dapet kartu atm nya kecewa banget parah duit nyangkut harusnya bisa keperluan kagak bisaa bukannya nya membantu menyulitkan duit sedot setiap bulan adminnya,negatif,negatif,positif,-7.0,-7.0,0.4
jakone mobile tidak bisa dibuka kenapa ya udah lengkapi data,negatif,negatif,positif,-4.0,-4.0,0.20000000000000007
parah nih aplikasi setelah kasus pas lebaran error error dialami tgl 29mei 25 tidak bisa masuk aplikasi plis dah pemda jangan pakai bank dki gajian,negatif,negatif,negatif,-34.0,-34.0,-3.6
butuh tidak bisa pakai,negatif,negatif,negatif,-10.0,-10.0,-1.6
rusak,positif,positif,negatif,3.0,3.0,-0.8
bank nya kurang profesional ecek ecek dikit dikit pajak nya rating nya nya minus perbaikan dn belajar bank2 error aplikasi nya ataupun human nya padahal pakai rumah susun nya value nya lebih,negatif,negatif,negatif,-16.0,-16.0,-2.6
kok error ya mbanking,negatif,negatif,negatif,-1.0,-1.0,-0.19999999999999996
potongan elit pelayanan sulit,positif,positif,positif,1.0,1.0,0.6
nga rekomendasi banget setiap libur aplikasi ngga bisa pakai,negatif,negatif,positif,-2.0,-2.0,0.8
banget kendalanya,positif,positif,positif,1.0,1.0,0.2
aplikasi udah asn hari libur ikut libur tidak bisa digunakan,negatif,negatif,positif,-6.0,-6.0,0.6
bank terdomgo download,netral,netral,netral,0.0,0.0,0.0
bukan gajian males banget asli troble mulu minim solusi,negatif,negatif,negatif,-2.0,-2.0,-0.4
kesini buruk transfer antar bank tidak transfer via bi fast tidak jg error ditanggal2 gajian,negatif,negatif,negatif,-20.0,-20.0,-2.0
bank paaling buruk,negatif,negatif,negatif,-5.0,-5.0,-1.0
cek saldo tulisan kesalahan kenapa ya,negatif,negatif,negatif,-3.0,-3.0,-1.0
kode otp dah,negatif,negatif,negatif,-6.0,-6.0,-0.6
mbanking sampah topup jakone pay rekening tidak bisa,negatif,negatif,negatif,-9.0,-9.0,-1.4
sampah,negatif,negatif,negatif,-4.0,-4.0,-0.8
verifikasi data device id berbeda setelah masukan nik no rek tanggal lahir email setelah diisi semuanya gagal notif kesalahan 0019 coba berkali tetep mengisi pulsa 12k tetep belum bisa tolong diperbaiki,negatif,negatif,negatif,-16.0,-16.0,-3.0000000000000004
masa maintenance udah sebulan tidak rampung mbanking sampah,negatif,negatif,negatif,-12.0,-12.0,-2.2
pengguna miris,negatif,negatif,negatif,-3.0,-3.0,-0.6000000000000001
transfer mbanking tidak bisa udah 2 bulan dateng kcp dki niat kartu atm katanya jakone mobile oke bisa setelah kartu diterima aktifasi klik penerima nya kiriman kurir tidak bisa klik komplain via email costumer service suruh dateng kcp dki bener bener merepotkan bukan bayar rumah ku hapus jakone mobile bener bener bank kusut,netral,netral,positif,0.0,0.0,1.4000000000000001
gua top up pulsa 3x gagal saldonya tetep kepotong tolong bikin aplikasi ditindaklanjuti,negatif,negatif,negatif,-6.0,-6.0,-0.4
masa aplikasi tidak bisa transaksi qris qr tidak bisa transfer bank kadang transaksi qris scan tidak bisa saldo mengendap lumayan bisa belanja keperluan lainnya aneh banget masa m banking kayak gitu,positif,negatif,positif,4.0,4.0,1.0
jakone lelet banget verifikasinya tidak recommended,negatif,positif,negatif,-4.0,-4.0,-0.6000000000000001
maaf min melakukan transaksi pembelian pulsa proses pembelian gagal saldo terpotong caranya kembalinya saldo ya min,positif,positif,negatif,5.0,5.0,-1.2
kode sms tidak masuk oon bgtt,negatif,negatif,negatif,-10.0,-10.0,-1.0
kok tidak bisa cek kjp ya,negatif,negatif,negatif,-5.0,-5.0,-0.5999999999999999
mencoba transaksi top up saldo kartu jackcard saldo terpotong kartu jackcard nya tidak masuk saldo nya belum balik,positif,positif,positif,13.0,13.0,1.0
aplikasi sampah kode tidak terkirim kirim,negatif,negatif,negatif,-14.0,-14.0,-0.4
parah nih isi pulsa gocap tidak masuk masuk semalem ampe pagi saldo berkurang dzalim,negatif,negatif,negatif,-11.0,-11.0,-3.2
bos potongan nya kegedean bulan kena bisa kecilin tiadakan potongan,negatif,negatif,negatif,-7.0,-7.0,-0.4
tolong perbaiki tidak bisa akses apapun mulai transfer qr dll,positif,positif,negatif,1.0,1.0,-0.39999999999999997
costumer service tidak bisa diakses operatornya,negatif,negatif,negatif,-5.0,-5.0,-0.6
pencairan gopay merchant rekening dki gagal kenapa min,negatif,negatif,negatif,-4.0,-4.0,-0.8
semoga bisa perbaikan,positif,positif,positif,3.0,3.0,0.6
sukses berjaya,positif,positif,positif,7.0,7.0,1.4
beri terbaik,positif,positif,positif,7.0,7.0,1.4
kaga bisa daftar aplikasi pea,negatif,negatif,netral,-3.0,-3.0,0.0
pn isi pulsa diketerangan proses kira sampe kapan oi admin,positif,positif,negatif,2.0,2.0,-0.6
aplikasi gajelas banget loading doang tidak bisa masuk beranda telpon call center ditolak,negatif,negatif,negatif,-13.0,-13.0,-1.6
dibuka ngk bisa unsintal kmr instal ngk bisa,netral,netral,netral,0.0,0.0,0.0
aplikasi tidak bermutu,negatif,negatif,negatif,-12.0,-12.0,-0.6
paraaah update susah log in nya aplikasi sampah klo tidak k paksa tidak instal tolong bi fast nya kembalikan,negatif,negatif,negatif,-22.0,-22.0,-2.2
aplikasi sampah berulang ulang gagal transaksi terpotong tlp call center buang2 pulsa semoga penggajian asn segera diganti bank tidak perbaikan2 lgsg ganti,negatif,negatif,negatif,-13.0,-13.0,-1.0
kode otp tidak masuk pdahal plsa knpa,negatif,negatif,netral,-5.0,-5.0,0.0
kenapa tiba tiba aplikasi tidak bisa dibuka udah beberapa hari cape banget aplikasi,negatif,negatif,negatif,-16.0,-16.0,-1.2
oke,positif,positif,positif,2.0,2.0,0.6
kurang puas transsksi tranfer bsnk lsin tidak bisa,negatif,negatif,negatif,-11.0,-11.0,-1.4
kacau udah ngabisin pulsa brp nerima kode data tidak sesuai ngerugiin,negatif,negatif,negatif,-17.0,-17.0,-0.6
bagus,positif,positif,positif,2.0,2.0,0.6
error tiba2 pemotongan saldo pesan apa2,negatif,negatif,negatif,-1.0,-1.0,-1.6
transaksi gagal saldo kepotong payah nih aplikasi,negatif,negatif,negatif,-2.0,-2.0,-0.8
ok,positif,positif,positif,4.0,4.0,0.8
aplikasi jakone mobile tidak bisa terbuka diem booting diem logo jakone mobile warna merah mhn solusi,positif,positif,positif,5.0,5.0,0.20000000000000007
gatau kenapa error kebanyakan erornya bayar listrik kepotong 2x hadeehhh ngerugiin konsumen banget,negatif,negatif,negatif,-2.0,-2.0,-1.0
nunggu sms verifikasi,positif,positif,positif,1.0,1.0,0.2
keren,netral,netral,positif,0.0,0.0,0.8
siang bapak ibu nanya tabungan simpeda bank dki masuk aplikasi jackone soalnya hari jumat kok bgak bisa otomatis masuk aplikasi tks,negatif,negatif,positif,-8.0,-8.0,1.2
m banking maintenance mulu udah tgl 12 mei belum bisa,positif,positif,negatif,2.0,2.0,-1.0
ru pertama pke bank jakone mbanking masa error mbanking bgd kesan pertama dksh jelekkk,negatif,negatif,negatif,-5.0,-5.0,-1.0
duit w ilang woy 500rb balikin,negatif,negatif,negatif,-5.0,-5.0,-1.0
masuk tidak bisa ya allah susa benerrr,positif,positif,positif,1.0,1.0,1.2000000000000002
mntap,netral,netral,netral,0.0,0.0,0.0
salah pengguna terpaksa memakai aplikasi dikarenakan pembelian token listrik salah rusun bisa aplikasi menjadi masalah jumlah nominal token terima berbeda jauh bandingkan membeli aplikasi berdasarkan hitungan tetepkan pihak pln bisa bantu penjelasannya,negatif,negatif,negatif,-35.0,-35.0,-5.0
bukan urusan kerjaan udah gua apus nih aplikasi keseringan bermasalahnya benernya,negatif,negatif,negatif,-8.0,-8.0,-0.19999999999999996
tidak bisa upload ktp,negatif,negatif,negatif,-5.0,-5.0,-0.6
buset dah dri lebaran sampe srkng error kerja gimana dah saldo 0 saldo padahal,negatif,negatif,negatif,-5.0,-5.0,-1.8000000000000003
mauu login device baruu susah berkali error umum 0404 muluu aneh banget,negatif,negatif,negatif,-2.0,-2.0,-0.4000000000000001
download aplikasi kenapa tidak verifikasi no hp tidak bisa,negatif,negatif,negatif,-14.0,-14.0,-0.6
selamat sore jakone service time out kenapa ya padahal pakai wifi,positif,positif,positif,9.0,9.0,1.8
bintang bisa daftar kasih bintang 5,positif,positif,netral,3.0,3.0,0.0
naik darah gw bank dki gangguan mulu,positif,positif,negatif,7.0,7.0,-1.8
kenapa sich bank dki atm aplikasi nya lambat manajemen rubah masa kaga perubahan ganti,positif,positif,netral,4.0,4.0,0.0
tidak bisa registrasi loading upload ktp kesalahan,negatif,negatif,negatif,-10.0,-10.0,-1.6
parah aplikasi seminggu lebih tidak bisa dii gunakan laporan bank langsung jawabannya tidak pasti sampe kapan kendala tolong perbaikan segera dii proses lebih cepat jangan tunda percuma a aplikasi dki mobile tidak bisa pergunakan,negatif,negatif,negatif,-17.0,-17.0,-0.5999999999999999
aplikasi jelekk,negatif,negatif,netral,-4.0,-4.0,0.0
coba deh bikin se menarik bca livin,positif,positif,positif,6.0,6.0,0.8
aplikasi lemah,positif,positif,negatif,1.0,1.0,-0.8
setelah update pembayaran shopee kok tidak ya,negatif,negatif,negatif,-9.0,-9.0,-0.8
oke diperbaiki ovo gopay mohon dipertahankan jangan bermasalah,positif,positif,positif,1.0,1.0,0.6
terima kasih diperbaharui,positif,positif,positif,4.0,4.0,1.0
daftar mbanking susah banget njir,negatif,negatif,negatif,-4.0,-4.0,-1.4
bagus nysahin sistem error,negatif,negatif,negatif,-7.0,-7.0,-1.2000000000000002
knapa susah banget scan e ktp padahal sesuai petunjuk,positif,positif,negatif,1.0,1.0,-0.20000000000000007
emng kga niat aplikasi kga pak bujug dah 10x login gagal wifi salah paketan salah tidak bisa masuk saran benerin dikit deh aplikasi nya anggaran negara jangan foya foya,negatif,negatif,negatif,-36.0,-36.0,-5.2
tolong segera perbaiki masalah dilaporkan orang orang ya tolong perbaiki membuka rekening daftar rekening punya disini menggunakan aplikasi jakone mobile ditanyakan punya rekening tidak masukkan nomor telepon nah setelah memasukkan nomor telepon tidak mendapatkan pesan masuk kode otp mencoba tahun sebulan nyoba beberapa,negatif,negatif,netral,-2.0,-2.0,0.0
ok,positif,positif,positif,4.0,4.0,0.8
kaga jelas banget masukin ktp gagal nyangkut dah duit gua,negatif,negatif,negatif,-8.0,-8.0,-1.2
daftar bank jakone online tidak bisa admin bisa bantu,negatif,negatif,netral,-1.0,-1.0,0.0
gimana sih scan ktp verifikasi kesalahan mulu udah berkali uninstall download tetep tidak bisa solusi nya gmna,negatif,negatif,negatif,-5.0,-5.0,-1.1999999999999997
login bela belain isi pulsa pas scan ktp error mulu ribet banget dah proses login heran kebanyakan maaf dibenerin kaga liat noh rating anjlok gmn make masyarakat kl dipersulit bgini,negatif,negatif,negatif,-2.0,-2.0,-4.3999999999999995
tolong tingkatan masa regis susah,netral,netral,negatif,0.0,0.0,-0.6
belajarlah bank swasta contoh mybca livin brimo,netral,netral,netral,0.0,0.0,0.0
susah banget buka aplikasi transfer susah pindahin duit susah menyusahkan udah upgrade berkali tidak kebuka buka mohon perbaikannya udah berbulan bulan,negatif,negatif,negatif,-6.0,-6.0,-3.0
kode otp tidak kunjung terima,negatif,negatif,negatif,-9.0,-9.0,-0.19999999999999996
perbaiki sistemnya lambat banget sumpah buka jak one,positif,positif,negatif,8.0,8.0,-0.20000000000000007
tolong segera diperbaiki tidak bisa ambil tunai tidak bisa transfer bank,negatif,negatif,negatif,-6.0,-6.0,-1.4
jelek parah problem kacau,negatif,negatif,negatif,-14.0,-14.0,-2.8
membantu,positif,positif,positif,4.0,4.0,0.8
bank dki semoga,netral,netral,netral,0.0,0.0,0.0
heran mw dowload rekening korannya gagal 3 hari nyobaa tidak ad perubahan astagaah,negatif,negatif,netral,-1.0,-1.0,0.0
boro2 login registrasi gagal melulu udah abis pulsa puluhan ribu otp bersaing kasian amat ya,negatif,negatif,negatif,-4.0,-4.0,-1.5999999999999999
knp setiap foto ktp tidak bisa mulu,netral,netral,negatif,0.0,0.0,-0.2
sebulan lebih jakone mobile tidak bisa transfer terima transfer bank tolong beri kepastiannya kapan kira jakone mobile bisa gunakan sebelumnya,positif,positif,positif,5.0,5.0,0.20000000000000007
berkaitan pegawai pemerintah dipastikan hasil kerjanya tidak benar,positif,positif,positif,2.0,2.0,1.4
tidak menerima kode otp padah nomor nya bener pulsa,negatif,negatif,netral,-11.0,-11.0,0.0
lambat tidak bisa transfer qiris dll,negatif,negatif,negatif,-4.0,-4.0,-1.6
jakone mobile mantaaappp,netral,netral,netral,0.0,0.0,0.0
mbking sampah tidak jls error,negatif,negatif,negatif,-14.0,-14.0,-1.8
tidak bisa registrasi data mbanking,negatif,negatif,negatif,-8.0,-8.0,-0.6
aplikasi nga tu gojek aj nga bisa2,negatif,negatif,netral,-4.0,-4.0,0.0
tidak jelas verifikasi ktp susah bener padahal terang ngabis2in pulsa,negatif,negatif,negatif,-7.0,-7.0,-1.2
lawak,netral,netral,netral,0.0,0.0,0.0
bank payah penanganannya sepanjang permasalah bank2 orang maintanence 3hr sebulan lebih bermasalah orang banknya tidak bisa menjamin kapan bisa aktivasi sedangkan gaji pegawai dki bank pengiriman sih aman percuma klo tidak bisa akses kemana,negatif,negatif,negatif,-8.0,-8.0,-1.1999999999999997
oke diperbaiki,positif,positif,positif,2.0,2.0,0.6
mohon maaf sy ingin bertanya dsini klo pas sy buka jakone mobile ko tidak bisa y tulisan user terkunci 0003 kenapa y sy mohon bantuannya y,positif,positif,negatif,9.0,9.0,-0.19999999999999996
